admin_id,admin_name,stop_id,stop_name
admin:53110,Grez-en-Bouère,stop_area:C53:SA:2557,Rue de la Libération
admin:53016,Bais,stop_area:C53:SA:520,Abribus Terrain de s
admin:53123,Juvigné,stop_area:C53:SA:6492,Eglise
admin:53109,Grazay,stop_area:C53:SA:2546,Pl. de l'Eglise
admin:53109,Grazay,stop_area:C53:SA:13560,La Rechignée
admin:53109,Grazay,stop_area:C53:SA:13994,La Renardiere
admin:49305,Saint-Martin-du-Bois,stop_area:C53:SA:11497,La Daudinière
admin:53062,Château-Gontier,stop_area:C53:SA:1448,Lycée professionnel Robert Schuman
admin:53062,Château-Gontier,stop_area:C53:SA:1450,Lycée Pierre et Marie Curie
admin:53062,Château-Gontier,stop_area:C53:SA:1453,Col. J. Rostand
admin:53062,Château-Gontier,stop_area:C53:SA:1454,Col. St Michel
admin:53062,Château-Gontier,stop_area:C53:SA:1455,Lycée V. Hugo
admin:53062,Château-Gontier,stop_area:C53:SA:1479,Résistance
admin:53062,Château-Gontier,stop_area:C53:SA:1481,Bazouges pharmacie
admin:53062,Château-Gontier,stop_area:C53:SA:1486,Lycée St Michel
admin:53062,Château-Gontier,stop_area:C53:SA:9223,Avenue Joffre
admin:53165,Niafles,stop_area:C53:SA:4013,Eglise
admin:53102,Gastines,stop_area:C53:SA:2404,Eglise
admin:53174,Parigné-sur-Braye,stop_area:C53:SA:9394,Eglise
admin:53174,Parigné-sur-Braye,stop_area:C53:SA:10177,La Chauvière
admin:44199,Soudan,stop_area:C53:SA:9225,Rue du 11 Novembre
admin:53097,Évron,stop_area:C53:SA:11560,Bd Rochemado
admin:49007,Angers,stop_area:SNC:SA:SAOCE87484006,gare SNCF et routière Angers-St-Laud
admin:49007,Angers,stop_area:ANG:SA:98,IUT
admin:49007,Angers,stop_area:ANG:SA:2125,Poissonnerie
admin:53136,Loigné-sur-Mayenne,stop_area:C53:SA:3307,Salle des fêtes
admin:53058,La Chapelle-Craonnaise,stop_area:C53:SA:13265,RD 771
admin:53058,La Chapelle-Craonnaise,stop_area:C53:SA:1411,Le Bourg
admin:53225,Saint-Germain-le-Guillaume,stop_area:C53:SA:5187,Eglise
admin:53185,Pré-en-Pail-Saint-Samson,stop_area:C53:SA:4322,Eglise
admin:53185,Pré-en-Pail-Saint-Samson,stop_area:C53:SA:13446,MFR Chauviniere
admin:49155,Grez-Neuville,stop_area:C49:SA:LI155,GRIEUL
admin:53119,L'Huisserie,stop_area:C53:SA:2739,Lilas
admin:53119,L'Huisserie,stop_area:C53:SA:11465,Ste Croix
admin:53079,Couesmes-Vaucé,stop_area:C53:SA:1846,Ancienne école de Vaucé
admin:53079,Couesmes-Vaucé,stop_area:C53:SA:1875,Abribus Eglise
admin:53130,Laval,stop_area:LAV:SA:134,Grat
admin:53130,Laval,stop_area:LAV:SA:17,Archives
admin:53130,Laval,stop_area:LAV:SA:171,Hydouze
admin:53130,Laval,stop_area:LAV:SA:19,Avesnières
admin:53130,Laval,stop_area:LAV:SA:202,Fuye
admin:53130,Laval,stop_area:LAV:SA:226,Cale
admin:53130,Laval,stop_area:LAV:SA:238,Lauriers
admin:53130,Laval,stop_area:LAV:SA:245,Mairie
admin:53130,Laval,stop_area:LAV:SA:30,Baclerie
admin:53130,Laval,stop_area:LAV:SA:306,Route de Tours
admin:53130,Laval,stop_area:LAV:SA:309,Ridelleries
admin:53130,Laval,stop_area:LAV:SA:80,Chanzy
admin:53130,Laval,stop_area:LAV:SA:85,Château d'Eau
admin:53130,Laval,stop_area:LAV:SA:9,Jarry
admin:53130,Laval,stop_area:C53:SA:3151,Col. A. Gerbault
admin:53130,Laval,stop_area:C53:SA:3152,Col. La Salle
admin:53130,Laval,stop_area:C53:SA:3153,Lycée Hte Follis
admin:53130,Laval,stop_area:C53:SA:3156,Rue de Nantes
admin:53130,Laval,stop_area:C53:SA:3157,Lycée G. Lesnard
admin:53130,Laval,stop_area:C53:SA:3170,Halte Routière Centr
admin:53130,Laval,stop_area:C53:SA:3184,Col. I. Conception
admin:53130,Laval,stop_area:C53:SA:9205,Quai Gambetta
admin:53130,Laval,stop_area:C53:SA:10083,Ste Catherine
admin:53130,Laval,stop_area:C53:SA:11478,Beck
admin:53130,Laval,stop_area:C53:SA:11479,De Sèze
admin:53130,Laval,stop_area:C53:SA:11539,Bienvenu
admin:53130,Laval,stop_area:C53:SA:11956,Saint Martin
admin:53130,Laval,stop_area:C53:SA:12339,Blancherie
